project,stage,subject,record,matrix,band,component,global_score,motor_score,motority,global_second_score,global_locality,global_locality_ratio,global_n90,global_fraction90,motor_second_score,motor_locality,motor_locality_ratio,motor_n90,motor_fraction90,global_source_idx,motor_source_idx,global_orientation,motor_orientation,separability_score,final_score,global_x_mm,global_y_mm,global_z_mm,motor_x_mm,motor_y_mm,motor_z_mm,matrix_path
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",40,0.8680387728765109,0.7622670180891158,0.8781485826527217,0.833304258612633,0.03473451426387786,1.0416828714180668,9,0.013043478260869565,0.7597775459895475,0.0024894720995682906,1.0032765802473484,15,0.11450381679389313,127,571,2,1,0.43140751131762856,0.7482418207884409,0.0,-75.0,-30.0,0.0,-45.0,45.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",41,0.8474995824476275,0.7497087822444957,0.8846125682791414,0.8301475623867504,0.017352020060877105,1.0209023321239281,10,0.014492753623188406,0.7308098638220962,0.018898918422399436,1.0258602399310255,13,0.09923664122137404,62,581,2,1,0.44489077111458064,0.7494518837341032,30.0,-60.0,-45.0,30.0,-30.0,45.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",42,0.8282150946086828,0.7627645305819001,0.9209739541662098,0.825112762103681,0.0031023325050018036,1.0037598891296897,62,0.08985507246376812,0.7598034675468417,0.0029610630350583866,1.0038971433555295,13,0.09923664122137404,328,514,1,1,0.4563818771752919,0.7726822405135177,75.0,-30.0,0.0,30.0,-15.0,30.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",43,0.7063384328286503,0.5264946186630302,0.7453857728717868,0.7002009997595946,0.0061374330690556755,1.0087652446528395,10,0.014492753623188406,0.5251846523531105,0.0013099663099196412,1.0024942966327182,25,0.19083969465648856,18,649,2,2,0.4612525514104371,0.611947224606452,-45.0,-30.0,-60.0,30.0,-15.0,60.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",44,0.9251707217607092,0.9220497516060772,0.9966266008194763,0.9220497516060772,0.0031209701546320856,1.003384817521176,206,0.2985507246376812,0.921006907596117,0.001042844009960131,1.0011322868497068,66,0.5038167938931297,416,503,0,0,0.47669044779569436,0.8665374729900303,0.0,-30.0,15.0,0.0,-30.0,30.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",45,0.8815217898473001,0.8119002579470972,0.9210212014018814,0.8804481199416863,0.001073669905613861,1.0012194584567742,145,0.21014492753623187,0.7913091602655146,0.020591097681582626,1.02602155859623,18,0.13740458015267176,12,504,2,1,0.4854683033140528,0.7957182915751412,0.0,30.0,-75.0,15.0,-30.0,30.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",46,0.8842579802654035,0.784905394147186,0.8876429861697176,0.8810754811942879,0.003182499071115563,1.0036120617802253,36,0.05217391304347826,0.7846540306661605,0.00025136348102550166,1.0003203494421766,10,0.07633587786259542,498,514,1,1,0.5132107520826339,0.7767983821444148,60.0,-45.0,30.0,30.0,-15.0,30.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",47,0.7156821785669558,0.669053464520711,0.9348471773607502,0.7087555613841687,0.006926617182787087,1.009772928157713,26,0.03768115942028986,0.6579980401615194,0.011055424359191601,1.016801606820102,10,0.07633587786259542,127,484,2,1,0.5277845333494218,0.7604068490644708,0.0,-75.0,-30.0,-30.0,-60.0,30.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",48,0.74396487443647,0.7140906669687206,0.9598445995311564,0.7418609111278682,0.0021039633086017417,1.0028360616889802,70,0.10144927536231885,0.7047936930498778,0.009296973918842766,1.0131910571994645,12,0.0916030534351145,401,572,0,0,0.5307813723775268,0.7880180777035779,30.0,-60.0,15.0,15.0,-45.0,45.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",49,0.8755273615832206,0.8492649186921076,0.9700038581962505,0.875323917987812,0.00020344359540869217,1.0002324209258173,41,0.059420289855072465,0.8424242831358235,0.006840635556284114,1.008120178505326,15,0.11450381679389313,487,571,1,1,0.5488500015295024,0.8435144580364508,15.0,-60.0,30.0,0.0,-45.0,45.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
