session,record,rank,classifier,band,components,absolute_components,component_assessment_score,balanced accuracy,brier score,probability_plot_brier_score,ranking_score,component_score_values,accuracy,roc-auc,f1,recall,precision,log loss,component_plot,probability_plot,pipeline,sel_comp,TPR,TNR,FPR,FNR,TP,TN,FP,FN,fs,component_score_details
15AZ,im_rec_calib.hdf,3,lda,"[10.0, 14.0]","[0, -1]","[0, 55]",7.0089999999999995,1.0,1.2359160388313863e-09,4.2988504577336205e-09,14.017999991337463,"[5.686999999999999, 8.331]",1.0,1.0,1.0,1.0,1.0,1.0049694313897459e-05,results\pr_AstroSync\exp\best_band_component_pairs\15AZ\im_rec_calib\components\rank_3.png,results\pr_AstroSync\exp\best_band_component_pairs\15AZ\im_rec_calib\probabilities\rank_3.png,split_before_csp,"(0, -1)",1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1000.0,"[{'component': 0, 'contra': 2.726, 'ipsi': 2.961, 'component_score': 5.686999999999999}, {'component': -1, 'contra': 3.12, 'ipsi': 5.211, 'component_score': 8.331}]"
18KK,im_rec_calib.hdf,1,lda,"[8.0, 12.0]","[0, -1]","[0, 55]",4.196,0.9,0.10272400136627467,0.002029322665084437,7.960970090267111,"[2.585, 5.807]",0.9,0.92,0.9074074074074074,0.9333333333333332,0.9047619047619048,0.41759666937956813,results\pr_AstroSync\exp\best_band_component_pairs\18KK\im_rec_calib\components\rank_1.png,results\pr_AstroSync\exp\best_band_component_pairs\18KK\im_rec_calib\probabilities\rank_1.png,split_before_csp,"(0, -1)",0.9333333333333332,0.8666666666666667,0.13333333333333333,0.06666666666666667,4.666666666666667,4.333333333333333,0.6666666666666666,0.3333333333333333,1000.0,"[{'component': 0, 'contra': 2.193, 'ipsi': 0.392, 'component_score': 2.585}, {'component': -1, 'contra': 2.757, 'ipsi': 3.05, 'component_score': 5.807}]"
18KK,im_rec_calib.hdf,2,lda,"[8.0, 15.0]","[0, -1]","[0, 55]",3.9215,0.8666666666666667,0.07890824480672108,0.011326999027239113,7.5335613179904435,"[2.4939999999999998, 5.349]",0.8666666666666667,0.9733333333333333,0.85,0.7999999999999999,0.9333333333333332,0.2668597675237017,results\pr_AstroSync\exp\best_band_component_pairs\18KK\im_rec_calib\components\rank_2.png,results\pr_AstroSync\exp\best_band_component_pairs\18KK\im_rec_calib\probabilities\rank_2.png,split_before_csp,"(0, -1)",0.7999999999999999,0.9333333333333332,0.06666666666666667,0.20000000000000004,4.0,4.666666666666667,0.3333333333333333,1.0,1000.0,"[{'component': 0, 'contra': 2.09, 'ipsi': 0.404, 'component_score': 2.4939999999999998}, {'component': -1, 'contra': 2.555, 'ipsi': 2.794, 'component_score': 5.349}]"
18KK,im_rec_calib.hdf,3,lda,"[9.0, 13.0]","[0, -1]","[0, 55]",4.31,0.6666666666666666,0.28344102332259397,0.02077953985510051,7.398369189479619,"[2.6, 6.02]",0.6666666666666666,0.7733333333333334,0.5166666666666667,0.4666666666666666,0.6,1.881667111759331,results\pr_AstroSync\exp\best_band_component_pairs\18KK\im_rec_calib\components\rank_3.png,results\pr_AstroSync\exp\best_band_component_pairs\18KK\im_rec_calib\probabilities\rank_3.png,split_before_csp,"(0, -1)",0.4666666666666666,0.8666666666666667,0.13333333333333333,0.5333333333333333,2.3333333333333335,4.333333333333333,0.6666666666666666,2.6666666666666665,1000.0,"[{'component': 0, 'contra': 2.072, 'ipsi': 0.528, 'component_score': 2.6}, {'component': -1, 'contra': 2.847, 'ipsi': 3.173, 'component_score': 6.02}]"
18KK,qm_rec_calib.hdf,1,lda,"[9.0, 13.0]","[0, -1]","[0, 55]",4.4875,0.8666666666666667,0.08380039395493262,0.020050565110501777,8.59894573212724,"[3.2039999999999997, 5.771]",0.8666666666666667,0.96,0.8727272727272727,0.9333333333333332,0.8222222222222223,0.23122655702474115,results\pr_AstroSync\exp\best_band_component_pairs\18KK\qm_rec_calib\components\rank_1.png,results\pr_AstroSync\exp\best_band_component_pairs\18KK\qm_rec_calib\probabilities\rank_1.png,split_before_csp,"(0, -1)",0.9333333333333332,0.8000000000000002,0.20000000000000004,0.06666666666666667,4.666666666666667,4.0,1.0,0.3333333333333333,1000.0,"[{'component': 0, 'contra': 2.476, 'ipsi': 0.728, 'component_score': 3.2039999999999997}, {'component': -1, 'contra': 2.544, 'ipsi': 3.227, 'component_score': 5.771}]"
18KK,qm_rec_calib.hdf,2,lda,"[10.0, 14.0]","[0, -1]","[0, 55]",4.062,0.9333333333333332,0.050595334490252,0.04136837321371762,7.918481751300598,"[4.009, 4.115]",0.9333333333333332,0.9733333333333333,0.9326599326599326,0.9333333333333332,0.9444444444444445,0.15362748012072205,results\pr_AstroSync\exp\best_band_component_pairs\18KK\qm_rec_calib\components\rank_2.png,results\pr_AstroSync\exp\best_band_component_pairs\18KK\qm_rec_calib\probabilities\rank_2.png,split_before_csp,"(0, -1)",0.9333333333333332,0.9333333333333332,0.06666666666666667,0.06666666666666667,4.666666666666667,4.666666666666667,0.3333333333333333,0.3333333333333333,1000.0,"[{'component': 0, 'contra': 3.266, 'ipsi': 0.743, 'component_score': 4.009}, {'component': -1, 'contra': 1.751, 'ipsi': 2.364, 'component_score': 4.115}]"
18KK,qm_rec_calib.hdf,3,lda,"[8.0, 12.0]","[0, -1]","[0, 55]",3.7640000000000002,0.9,0.038159408017413576,2.812174437327548e-05,7.384367988222456,"[2.176, 5.352]",0.9,0.9733333333333333,0.8888888888888888,0.8666666666666667,0.9166666666666666,0.1179763871209894,results\pr_AstroSync\exp\best_band_component_pairs\18KK\qm_rec_calib\components\rank_3.png,results\pr_AstroSync\exp\best_band_component_pairs\18KK\qm_rec_calib\probabilities\rank_3.png,split_before_csp,"(0, -1)",0.8666666666666667,0.9333333333333332,0.06666666666666667,0.13333333333333333,4.333333333333333,4.666666666666667,0.3333333333333333,0.6666666666666666,1000.0,"[{'component': 0, 'contra': 1.48, 'ipsi': 0.696, 'component_score': 2.176}, {'component': -1, 'contra': 2.416, 'ipsi': 2.936, 'component_score': 5.352}]"
19VB,im_rec_calib.hdf,1,lda,"[9.0, 13.0]","[0, -1]","[0, 55]",7.91,1.0,0.011199886518405033,0.0026132791985645056,15.731408897639415,"[7.284, 8.536000000000001]",1.0,1.0,1.0,1.0,1.0,0.04339304749853872,results\pr_AstroSync\exp\best_band_component_pairs\19VB\im_rec_calib\components\rank_1.png,results\pr_AstroSync\exp\best_band_component_pairs\19VB\im_rec_calib\probabilities\rank_1.png,split_before_csp,"(0, -1)",1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1000.0,"[{'component': 0, 'contra': 5.675, 'ipsi': 1.609, 'component_score': 7.284}, {'component': -1, 'contra': 3.083, 'ipsi': 5.453, 'component_score': 8.536000000000001}]"
19VB,im_rec_calib.hdf,2,lda,"[10.0, 14.0]","[0, -1]","[0, 55]",8.003,0.9666666666666667,0.03971646429037318,0.0019724229541453037,15.688149136284144,"[7.9239999999999995, 8.082]",0.9666666666666667,1.0,0.9696969696969697,1.0,0.9444444444444445,0.2478806514742478,results\pr_AstroSync\exp\best_band_component_pairs\19VB\im_rec_calib\components\rank_2.png,results\pr_AstroSync\exp\best_band_component_pairs\19VB\im_rec_calib\probabilities\rank_2.png,split_before_csp,"(0, -1)",1.0,0.9333333333333332,0.06666666666666667,0.0,5.0,4.666666666666667,0.3333333333333333,0.0,1000.0,"[{'component': 0, 'contra': 6.108, 'ipsi': 1.816, 'component_score': 7.9239999999999995}, {'component': -1, 'contra': 3.074, 'ipsi': 5.008, 'component_score': 8.082}]"
19VB,im_rec_calib.hdf,3,lda,"[9.0, 13.0]","[0, 2, -1]","[0, 2, 55]",7.1113333333333335,0.9666666666666667,0.012504572694900002,0.002583181658082172,14.133742482042335,"[7.284, 5.513999999999999, 8.536000000000001]",0.9666666666666667,1.0,0.9629629629629629,0.9333333333333332,1.0,0.04494975776315711,results\pr_AstroSync\exp\best_band_component_pairs\19VB\im_rec_calib\components\rank_3.png,results\pr_AstroSync\exp\best_band_component_pairs\19VB\im_rec_calib\probabilities\rank_3.png,split_before_csp,"(0, 2, -1)",0.9333333333333332,1.0,0.0,0.06666666666666667,4.666666666666667,5.0,0.0,0.3333333333333333,1000.0,"[{'component': 0, 'contra': 5.675, 'ipsi': 1.609, 'component_score': 7.284}, {'component': 2, 'contra': 2.085, 'ipsi': 3.429, 'component_score': 5.513999999999999}, {'component': -1, 'contra': 3.083, 'ipsi': 5.453, 'component_score': 8.536000000000001}]"
