project,stage,subject,record,file,matrix,matrix_path,band,components,absolute_components,n_components,classifier,cv_method,cv_splits,cv_test_size,cv_tested_epochs,accuracy,balanced_accuracy,brier_score,component_score_values,mean_score,comp_set_score,final_score_method,rank_within_file,rank_global,probability_plot
pr_Agency_EBCI,test,05_15 Arina,01_calib_MI,test/05_15 Arina/01_calib_MI,"MATRIX_[9, 13]_robust_concat_01_calib_MI.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_15 Arina\MATRIX_[9, 13]_robust_concat_01_calib_MI.hdf","[9, 13]","[0, 2, -2]","[0, 2, 54]",3,lda,time_series_by_class,3,5,30,0.8,0.8,0.17132971106162384,"[6.077358534167891, 2.000407526364909, 1.7364646117615674]",3.271410224098122,4.357611309866119,final_score_5,80,566,
pr_Agency_EBCI,test,05_15 Arina,01_calib_MI,test/05_15 Arina/01_calib_MI,"MATRIX_[8, 12]_robust_concat_01_calib_MI.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_15 Arina\MATRIX_[8, 12]_robust_concat_01_calib_MI.hdf","[8, 12]","[0, 2]","[0, 2]",2,lda,time_series_by_class,3,5,30,0.7666666666666667,0.7666666666666666,0.175456435028468,"[5.3562085507822434, 1.388723449631933]",3.3724660002070883,4.310611947793745,final_score_5,81,572,
pr_Agency_EBCI,test,05_15 Arina,01_calib_MI,test/05_15 Arina/01_calib_MI,"MATRIX_[9, 13]_robust_concat_01_calib_MI.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_15 Arina\MATRIX_[9, 13]_robust_concat_01_calib_MI.hdf","[9, 13]","[2, -1]","[2, 55]",2,lda,time_series_by_class,3,5,30,0.9,0.9,0.09758412104480153,"[2.000407526364909, 1.0721010991174782]",1.5362543127411936,4.278087135633019,final_score_5,82,577,
pr_Agency_EBCI,test,05_15 Arina,01_calib_MI,test/05_15 Arina/01_calib_MI,"MATRIX_[8, 15]_robust_concat_01_calib_MI.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_15 Arina\MATRIX_[8, 15]_robust_concat_01_calib_MI.hdf","[8, 15]","[0, -2, -1]","[0, 54, 55]",3,lda,time_series_by_class,3,5,30,0.8666666666666667,0.8666666666666667,0.1187550936155077,"[5.085306215066576, 0.512302271430285, 0.0]",1.8658694954989539,4.204587645524028,final_score_5,83,586,
pr_Agency_EBCI,test,05_15 Arina,01_calib_MI,test/05_15 Arina/01_calib_MI,"MATRIX_[8, 15]_robust_concat_01_calib_MI.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_15 Arina\MATRIX_[8, 15]_robust_concat_01_calib_MI.hdf","[8, 15]","[0, 1, 2]","[0, 1, 2]",3,lda,time_series_by_class,3,5,30,0.8333333333333334,0.8333333333333333,0.1532395835574803,"[5.085306215066576, 1.559602140515116, 0.9731357926447844]",2.5393480494088254,4.0532196437040895,final_score_5,84,606,
pr_Agency_EBCI,test,05_15 Arina,01_calib_MI,test/05_15 Arina/01_calib_MI,"MATRIX_[10, 14]_robust_concat_01_calib_MI.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_15 Arina\MATRIX_[10, 14]_robust_concat_01_calib_MI.hdf","[10, 14]","[0, 1, -3, -1]","[0, 1, 53, 55]",4,lda,time_series_by_class,3,5,30,0.8666666666666667,0.8666666666666667,0.14209338003593902,"[5.800766534774409, 1.095927256187634, 0.2131286863764358, 1.8338038269693333]",2.235906576076953,3.9896877605638434,final_score_5,85,617,
pr_Agency_EBCI,test,05_15 Arina,01_calib_MI,test/05_15 Arina/01_calib_MI,"MATRIX_[8, 12]_robust_concat_01_calib_MI.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_15 Arina\MATRIX_[8, 12]_robust_concat_01_calib_MI.hdf","[8, 12]","[1, -2, -1]","[1, 54, 55]",3,lda,time_series_by_class,3,5,30,0.8666666666666667,0.8666666666666667,0.09444876429481777,"[2.383668722630261, 1.5383324686403697, 0.1882544092752815]",1.3700852001819708,3.9368672186873823,final_score_5,86,626,
pr_Agency_EBCI,test,05_15 Arina,01_calib_MI,test/05_15 Arina/01_calib_MI,"MATRIX_[8, 15]_robust_concat_01_calib_MI.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_15 Arina\MATRIX_[8, 15]_robust_concat_01_calib_MI.hdf","[8, 15]","[0, 1, -2, -1]","[0, 1, 54, 55]",4,lda,time_series_by_class,3,5,30,0.8666666666666667,0.8666666666666667,0.1224643082029053,"[5.085306215066576, 1.559602140515116, 0.512302271430285, 0.0]",1.7893026567529944,3.8852327218348925,final_score_5,87,637,
pr_Agency_EBCI,test,05_15 Arina,01_calib_MI,test/05_15 Arina/01_calib_MI,"MATRIX_[9, 13]_robust_concat_01_calib_MI.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_15 Arina\MATRIX_[9, 13]_robust_concat_01_calib_MI.hdf","[9, 13]","[1, 2, -2, -1]","[1, 2, 54, 55]",4,lda,time_series_by_class,3,5,30,0.9,0.9,0.10003511921247303,"[0.8787975280480192, 2.000407526364909, 1.7364646117615674, 1.0721010991174782]",1.4219426913229936,3.863883775075059,final_score_5,88,643,
pr_Agency_EBCI,test,05_15 Arina,01_calib_MI,test/05_15 Arina/01_calib_MI,"MATRIX_[10, 14]_robust_concat_01_calib_MI.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\05_15 Arina\MATRIX_[10, 14]_robust_concat_01_calib_MI.hdf","[10, 14]","[-3, -2, -1]","[53, 54, 55]",3,lda,time_series_by_class,3,5,30,0.9666666666666667,0.9666666666666667,0.04198283944630244,"[0.2131286863764358, 0.3245656568554873, 1.8338038269693333]",0.7904993900670855,3.838498258624996,final_score_5,89,649,
