project,stage,subject,record,file,matrix,matrix_path,band,components,absolute_components,n_components,classifier,cv_method,cv_splits,cv_test_size,cv_tested_epochs,accuracy,balanced_accuracy,brier_score,final_score_1_component_scores,final_score_1_mean_score,final_score_1_comp_set_score,final_score_2_component_scores,final_score_2_mean_score,final_score_2_comp_set_score,final_score_3_component_scores,final_score_3_mean_score,final_score_3_comp_set_score,final_score_4_component_scores,final_score_4_mean_score,final_score_4_comp_set_score,final_score_5_component_scores,final_score_5_mean_score,final_score_5_comp_set_score
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[2, -2]","[2, 54]",2,lda,time_series_by_class,3,5,30,0.8666666666666667,0.8666666666666667,0.07674850746543099,"[0.1339208711417648, 0.1194300960555212]",0.126675483598643,0.43447721091092956,"[0.5597591467947923, 0.5110497133538584]",0.5354044300743254,1.8363539406337077,"[1.025176845013127, 0.8005148653133183]",0.9128458551632226,3.1309193371586854,"[0.348921835982471, 0.0]",0.1744609179912355,0.5983738203199124,"[0.355397193930869, 0.0]",0.1776985969654345,0.6094785557475813
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[2, -1]","[2, 55]",2,lda,time_series_by_class,3,5,30,0.9333333333333333,0.9333333333333333,0.039774076002674706,"[0.1339208711417648, 0.1730273143279738]",0.15347409273486928,0.7618814878115159,"[0.5597591467947923, 0.7575220224846657]",0.658640584639729,3.2696467502515043,"[1.025176845013127, 1.07073689032196]",1.0479568676675435,5.202304332107274,"[0.348921835982471, 0.7647874862240008]",0.5568546611032359,2.764357489501677,"[0.355397193930869, 0.8119033240878571]",0.5836502590093631,2.8973771388491856
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[-3, -2]","[53, 54]",2,lda,time_series_by_class,3,5,30,0.8333333333333334,0.8333333333333333,0.1419767355395253,"[0.0904571215109798, 0.1194300960555212]",0.1049436087832505,0.18747692877141806,"[0.384218862655548, 0.5110497133538584]",0.4476342880047032,0.799678060445129,"[0.6364116415814078, 0.8005148653133183]",0.7184632534473631,1.2835015467176365,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,0.0
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[-3, -1]","[53, 55]",2,lda,time_series_by_class,3,5,30,0.9,0.9,0.08723294236339042,"[0.0904571215109798, 0.1730273143279738]",0.1317422179194768,0.40687975316403974,"[0.384218862655548, 0.7575220224846657]",0.5708704425701069,1.7631069859742474,"[0.6364116415814078, 1.07073689032196]",0.853574265951684,2.6362246827351488,"[0.0, 0.7647874862240008]",0.3823937431120004,1.181005407879062,"[0.0, 0.8119033240878571]",0.4059516620439286,1.2537629520547646
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[-2, -1]","[54, 55]",2,lda,time_series_by_class,3,5,30,1.0,1.0,0.007882097614614865,"[0.1194300960555212, 0.1730273143279738]",0.1462287051917475,0.9985966005429883,"[0.5110497133538584, 0.7575220224846657]",0.634285867919262,4.331541544090619,"[0.8005148653133183, 1.07073689032196]",0.9356258778176392,6.389394064206432,"[0.0, 0.7647874862240008]",0.3823937431120004,2.611368892583908,"[0.0, 0.8119033240878571]",0.4059516620439286,2.7722460454687874
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, 1, 2]","[0, 1, 2]",3,lda,time_series_by_class,3,5,30,0.9666666666666667,0.9666666666666667,0.01787271509702809,"[0.1292839428178324, 0.1309469423021856, 0.1339208711417648]",0.1313839187539276,0.8119157378678974,"[0.552060817435389, 0.5517503975128552, 0.5597591467947923]",0.5545234539143454,3.4267992880708746,"[0.881314833046183, 0.9511790501815698, 1.025176845013127]",0.9525569094136266,5.886534313352627,"[0.0, 0.3065343581293291, 0.348921835982471]",0.21848539803726671,1.3501784300788768,"[0.0, 0.3150433619747771, 0.355397193930869]",0.22348018530188205,1.3810448133159203
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, 1, -3]","[0, 1, 53]",3,lda,time_series_by_class,3,5,30,0.8666666666666667,0.8666666666666667,0.11496420688458271,"[0.1292839428178324, 0.1309469423021856, 0.0904571215109798]",0.1168960022103326,0.2735932736067636,"[0.552060817435389, 0.5517503975128552, 0.384218862655548]",0.49601002586793075,1.160903744807344,"[0.881314833046183, 0.9511790501815698, 0.6364116415814078]",0.8229685082697201,1.9261449835355067,"[0.0, 0.3065343581293291, 0.0]",0.10217811937644304,0.23914629792799477,"[0.0, 0.3150433619747771, 0.0]",0.10501445399159237,0.24578469494525643
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, 1, -2]","[0, 1, 54]",3,lda,time_series_by_class,3,5,30,0.9333333333333333,0.9333333333333333,0.0554223073892761,"[0.1292839428178324, 0.1309469423021856, 0.1194300960555212]",0.1265536603918464,0.5372391485346504,"[0.552060817435389, 0.5517503975128552, 0.5110497133538584]",0.5382869761007009,2.28510843394194,"[0.881314833046183, 0.9511790501815698, 0.8005148653133183]",0.8776695828470237,3.725838177446156,"[0.0, 0.3065343581293291, 0.0]",0.10217811937644304,0.43376134426064245,"[0.0, 0.3150433619747771, 0.0]",0.10501445399159237,0.4458020073981929
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, 1, -1]","[0, 1, 55]",3,lda,time_series_by_class,3,5,30,0.9,0.9,0.07199302764688838,"[0.1292839428178324, 0.1309469423021856, 0.1730273143279738]",0.14441939981599727,0.5194607678974867,"[0.552060817435389, 0.5517503975128552, 0.7575220224846657]",0.6204444124776366,2.231670615955831,"[0.881314833046183, 0.9511790501815698, 1.07073689032196]",0.9677435911832376,3.480867734143787,"[0.0, 0.3065343581293291, 0.7647874862240008]",0.35710728145111,1.2844757898227284,"[0.0, 0.3150433619747771, 0.8119033240878571]",0.3756488953542114,1.3511679448132305
pr_Agency_EBCI,test,03_23 Artem,01_calib,test/03_23 Artem/01_calib,"MATRIX_[10, 14]_robust_concat_01_calib.hdf","C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_Agency_EBCI\features\csp\test\03_23 Artem\MATRIX_[10, 14]_robust_concat_01_calib.hdf","[10, 14]","[0, 2, -3]","[0, 2, 53]",3,lda,time_series_by_class,3,5,30,0.8,0.8,0.11588160182879664,"[0.1292839428178324, 0.1339208711417648, 0.0904571215109798]",0.11788731182352565,0.27339377777474877,"[0.552060817435389, 0.5597591467947923, 0.384218862655548]",0.4986796089619098,1.156493434996825,"[0.881314833046183, 1.025176845013127, 0.6364116415814078]",0.8476344398802392,1.965758469730379,"[0.0, 0.348921835982471, 0.0]",0.11630727866082367,0.2697295052701121,"[0.0, 0.355397193930869, 0.0]",0.11846573131028966,0.27473519684842884
