project,stage,subject,record,matrix,band,component,component_1based,selected_order,edge_group,eigenvalue,matrix_path,epochs_path,gof,rv,x_mm,y_mm,z_mm,ori_x,ori_y,ori_z,amplitude,fit_error,dist_left_M1_mm,in_left_M1,dist_left_S1_mm,in_left_S1,dist_SMA_mm,in_SMA,dist_left_PMd_mm,in_left_PMd,dist_right_M1_mm,in_right_M1,dist_right_S1_mm,in_right_S1,dist_right_PMd_mm,in_right_PMd,roi_names,roi_count,roi_weights,best_roi,best_roi_weight,nearest_roi,nearest_roi_dist_mm,eigscore,eigengap,weighted_contra,weighted_ipsi,locality,contrast_contra,contrast_ipsi,contra_score,ipsi_score,gof_norm,gof_coef,final_score
pr_AstroSync,exp,02ES,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",0,1,0,first5,0.042418675576571085,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_im_rec_calib.hdf,25.934239667153808,74.0657603328462,-55.82495385752541,-10.372178667224652,63.138958634377325,-0.33020955844720423,-0.9429562010199946,-0.042370396127982324,0.00011406690293866027,,25.09404391712123,True,26.466150435838355,True,56.23122189085719,False,28.823948709120415,True,93.10480328961587,False,100.39446880658662,False,84.16183726148597,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_M1,25.09404391712123,3.117,0.22288629309351105,1.306193239022962,0.21195488350842406,0.625,0.3532909523606766,0.04867627875044532,2.122564013412313,0.3444266857011891,0.2593423966715381,0.29494783467446095,12.177066152220293
pr_AstroSync,exp,02ES,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",1,2,1,first5,0.26530496867008213,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_im_rec_calib.hdf,37.302149682884426,62.697850317115574,3.551177523415741,5.243347315295636,84.67650751796181,0.5969522746119582,-0.7603940862542846,-0.2558296609565059,7.45068663877872e-05,,56.93690445677105,False,66.21750106525997,False,29.166072310324058,True,44.64532601130115,False,52.25362691476649,False,61.548026965889505,False,39.943375571335984,False,SMA,1,0.7,SMA,0.7,SMA,29.166072310324058,1.019,0.22288629309351105,0.1858239582595544,0.19148077305409805,0.4821428571428571,0.20719885167768728,0.20548170979487243,0.275417652420411,0.2838018600623239,0.3730214968288443,0.4768343949261509,1.029139804884295
pr_AstroSync,exp,02ES,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",2,3,2,first5,0.2824519803934249,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_im_rec_calib.hdf,36.864674818676654,63.135325181323346,-62.35197167396943,-19.203848035092847,54.385682385946616,0.8881325401568465,-0.2812587635117001,-0.3634750322407536,6.665394740841206e-05,,26.833477339607196,True,23.161414652694223,True,63.8370837866249,False,36.16891192781026,False,98.48207667990562,False,104.93608707180243,False,91.05828362936714,False,left_M1;left_S1,2,1;0.8,left_M1,1.0,left_S1,23.161414652694223,0.932,0.017147011723342764,0.17917650764344006,0.7970454550653668,0.5357142857142857,0.07178276260012638,0.3433830163021686,0.27516392245242577,1.2240340917075276,0.36864674818676657,0.4698347970988266,2.088945756684273
pr_AstroSync,exp,02ES,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",3,4,3,first5,0.2952168436060917,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_im_rec_calib.hdf,24.583848973711376,75.41615102628862,62.10461809391671,-2.519267422111871,57.854970762117546,-0.507372936640395,0.8560941400398558,0.0983642544541545,7.878308081443663e-05,,100.44590026459171,False,107.82969374955539,False,62.20225173858146,False,90.29020737582354,False,33.85725733783378,True,34.54948645558855,True,34.5919690311284,True,right_M1;right_S1;right_PMd,3,1;0.8;0.6,right_M1,1.0,right_M1,33.85725733783378,0.87,0.020274823319579305,0.3865168240851148,0.7254289155948398,0.5,0.15638092286436148,0.29047614731865895,0.5797752361276722,1.0881433733922596,0.24583848973711375,0.273341583579382,1.8851946515173696
pr_AstroSync,exp,02ES,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",4,5,4,first5,0.315491666925671,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_im_rec_calib.hdf,33.311647224692315,66.68835277530769,-6.1606312287901694,-28.434803370742987,79.80765394686564,-0.05695958897843431,0.44718891513756326,0.8926240414651048,6.440649773297637e-05,,38.42993359420639,False,45.38915963570641,False,31.888047135051877,True,38.227524162303936,False,48.620887414781905,False,55.634178872994866,False,46.38247838574422,False,SMA,1,0.7,SMA,0.7,SMA,31.888047135051877,0.775,0.025044048751159287,0.1904307423114558,0.32783768710369887,0.5357142857142857,0.14818322412154306,0.24659783995553516,0.2924472114068785,0.5034650194806803,0.33311647224692315,0.41298635559507707,0.8934029409800283
pr_AstroSync,exp,02ES,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",51,52,5,last5,0.7508037082782042,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_im_rec_calib.hdf,32.35228937152714,67.64771062847285,26.705572620028693,-66.67341699160804,28.10672859190535,-0.016945550640829803,-0.9286950442868981,-0.3704569651530869,0.00013805813910377186,,80.81487452932772,False,81.46338835002675,False,72.71904024311092,False,84.9311728813513,False,51.82124552639441,False,46.36536898701934,False,64.97907350492748,False,,0,,,0.0,right_S1,46.36536898701934,1.103,0.0395948984045289,0.1101871415499572,0.2391023513067831,0.6607142857142857,0.07551914835828742,0.18991140866151882,0.18298936007403604,0.39708069056305045,0.32352289371527143,0.3976366299444343,0.9296390742866514
pr_AstroSync,exp,02ES,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",52,53,6,last5,0.7903986066827331,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_im_rec_calib.hdf,13.915486109679007,86.08451389032099,26.110422903660588,-80.43732136344038,9.364055283761553,0.03456335157501049,0.9933389836960471,-0.10992287385984015,6.670018738673194e-05,,96.0093079629671,False,94.87242421420775,False,92.67213235063227,False,101.73502215412046,False,73.87750887381581,False,67.92809307249553,False,86.17219602336588,False,,0,,,0.0,right_S1,67.92809307249553,1.327,0.04376196381893949,0.13958304018498763,0.27527329109827015,0.625,0.12147929013279934,0.19274228354301354,0.2268224403006049,0.447319098034689,0.13915486109679007,0.0,0.9337346537187061
pr_AstroSync,exp,02ES,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",53,54,7,last5,0.8341605705016726,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_im_rec_calib.hdf,15.687981844700335,84.31201815529967,20.40326490841689,-79.86059010962194,21.113198944679766,-0.9903056281799976,-0.007496604738798991,-0.13870314961243937,5.498999340289709e-05,,86.71114523288075,False,85.64017980329511,False,85.04302488951926,False,93.4018701770525,False,67.6812570863286,False,62.501935107056305,False,80.24178264986564,False,,0,,,0.0,right_S1,62.501935107056305,1.615,0.04376196381893949,0.25931732857465806,0.17551042752069046,0.6607142857142857,0.2271322481219224,0.18566877476173757,0.43065199209719995,0.29147267427543233,0.15687981844700336,0.0,1.2172679097307402
pr_AstroSync,exp,02ES,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",54,55,8,last5,0.841682742509027,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_im_rec_calib.hdf,22.99146828821336,77.00853171178665,33.035961992173384,-78.37599530923093,3.7419460692140256,-0.02921493748917878,-0.950378749372635,0.30972039030133225,7.751471521163443e-05,,102.24293185686356,False,101.48631574471639,False,96.29951141156543,False,106.81326496605122,False,75.47475463898031,False,68.91611327368325,False,87.80117214242897,False,,0,,,0.0,right_S1,68.91611327368325,1.671,0.07193647778568646,0.26541016813170465,0.4298427268865768,0.625,0.12664637906344936,0.19629407775780652,0.43129152321402003,0.6984944311906873,0.22991468288213357,0.24786349261141372,2.525275414060816
pr_AstroSync,exp,02ES,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",55,56,9,last5,0.9136192202947134,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\02ES\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\02ES\EPOCHS_im_rec_calib.hdf,29.507724800640627,70.49227519935937,-49.624792991442376,-67.2582964482094,15.705400749377464,0.29068094197599714,-0.9557554199663595,-0.0451239091488623,0.00018120339333068663,,60.66770083354976,False,52.57010611695865,False,89.46525632306081,False,74.85206809858278,False,104.05066129149202,False,105.35929612383812,False,105.64472970137422,False,,0,,,0.0,left_S1,52.57010611695865,2.359,0.07193647778568646,0.5253931294233265,0.8439850292248684,0.5892857142857143,0.14162762507304394,0.22271586716887307,0.8349997949763582,1.3413333500180946,0.2950772480064063,0.3521235968102501,7.441127728128705
